"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 4",1,0,1723393,62,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",364,765571954651438,765571959476610,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,63,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",365,765571959579651,765571964131380,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,64,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",366,765571964235701,765571968622948,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,65,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",367,765571968721189,765571970014323,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,66,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",368,765571970037203,765571975142698,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,67,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",369,765571975241579,765571983633509,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,68,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",374,765571983795591,765571985809053,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,69,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",379,765571985873693,765571992613286,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,70,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",384,765571992777288,765572001603622,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,71,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",385,765572001718504,765572006537915,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,72,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",386,765572006640637,765572011195566,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,73,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",387,765572011299247,765572015694334,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,74,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",388,765572015779708,765572017073001,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,75,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",389,765572017095881,765572022105695,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,76,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",390,765572022202496,765572030561946,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,77,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",395,765572030716668,765572032750930,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,78,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",400,765572032816690,765572039538203,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,79,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",405,765572039704445,765572048531740,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,80,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",406,765572048646301,765572053461233,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,81,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",407,765572053549234,765572058076963,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,82,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",408,765572058179044,765572062609652,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,83,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",409,765572062708053,765572064001507,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,84,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",410,765572064024867,765572068883799,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,85,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",411,765572068980760,765572077327730,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,86,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",416,765572077470452,765572079522794,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,87,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",421,765572079593900,765572086399093,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,88,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",426,765572086566615,765572095389589,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,89,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",427,765572095502871,765572100288842,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,90,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",428,765572100391883,765572104906972,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,91,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",429,765572105009053,765572109384140,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,92,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",430,765572109483501,765572110778715,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,93,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",431,765572110796955,765572115987731,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,94,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",432,765572116086932,765572124505742,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,95,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",437,765572124664944,765572126719526,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,96,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",442,765572126790087,765572133609040,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,97,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",447,765572133773680,765572142603694,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,98,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",448,765572142718095,765572147509506,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,99,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",449,765572147612707,765572152202997,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,100,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",450,765572152304918,765572156726245,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,101,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",451,765572156825606,765572158121300,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,102,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",452,765572158139860,765572163379597,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,103,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",453,765572163476878,765572171858248,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,104,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",458,765572172014730,765572174039711,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,105,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",463,765572174105312,765572180846025,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,106,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",468,765572181012426,765572189864041,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,107,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",469,765572189977643,765572194767294,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,108,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",470,765572194871775,765572199462065,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,109,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",471,765572199563346,765572203967393,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,110,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",472,765572204054788,765572205348081,0,0,36,4,64,256,1,1,112640,1,1
