Dispatch_ID,Kernel_Name,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,wave_size_1,obj_1,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,wave_size_2,obj_2,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,Start_Timestamp,End_Timestamp
33,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643804660,769531643807220
34,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643822260,769531643826580
35,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643841621,769531643844021
36,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643858901,769531643862741
37,weno_test_driver_$ck_L1796_277.kd,4,56320,256,0,0,24,0,80,64,0x7fffe0921ac0,0,0,0,0,0,2451444,0,2451444,10438378.0,48992480.0,9797792.0,0.0,0.0,9883095.0,9763902.0,9763902.0,64,0x7fffe0921ac0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921ac0,0,0,769532714631244,769532716260702
38,weno_test_driver_$ck_L1796_280.kd,4,56320,256,0,0,24,0,80,64,0x7fffe0921b00,0,0,0,0,0,2451444,0,2451444,70772251.0,97981440.0,9797792.0,0.0,0.0,13669936.0,9792312.0,9792312.0,64,0x7fffe0921b00,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921b00,0,0,769532716314782,769532718753209
39,weno_test_driver_$ck_L1796_283.kd,4,56320,256,0,0,24,0,80,64,0x7fffe0921b40,0,0,0,0,0,2451444,0,2451444,78382446.0,97981440.0,9797792.0,0.0,0.0,59828890.0,9792089.0,9792089.0,64,0x7fffe0921b40,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921b40,0,0,769532718776569,769532726121291
40,weno_test_driver_$ck_L1796_286.kd,4,56320,256,0,0,36,4,96,64,0x7fffe0921b80,0,0,0,0,0,1196424,1760,1195544,10461370.0,66700416.0,19056256.0,0.0,0.0,9979793.0,19012238.0,19012238.0,64,0x7fffe0921b80,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921b80,0,0,769532726145131,769532728090752
41,weno_test_driver_$ck_L1796_289.kd,4,56320,256,0,0,36,4,96,64,0x7fffe0921bc0,0,0,0,0,0,1196424,1760,1195544,67882513.0,114341056.0,19056256.0,0.0,0.0,10617347.0,19046854.0,19046854.0,64,0x7fffe0921bc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921bc0,0,0,769532728112993,769532730413658
42,weno_test_driver_$ck_L1796_292.kd,4,56320,256,0,0,36,4,96,64,0x7fffe0921c00,0,0,0,0,0,1196424,1760,1195544,76225134.0,114341056.0,19056256.0,0.0,0.0,59680892.0,19047236.0,19047236.0,64,0x7fffe0921c00,0,0,0,0,0,0,0,0,0.0,64,0x7fffe0921c00,0,0,769532730438618,769532737849741
